key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
tunder_bolt_dragonD;Усиленный заряд для Лука-громобоя, поражающий больше противников.;Especially powerful Thunderbolt Bow cartridge that deals damage to more enemies.;;;Particulièrement puissant avec un Arc de foudre Draconique dégâts accrus.,;;;;;特别强大的霹雳弓的箭，对更多敌人造成伤害。;
flame_fuel_heat_dragonT;Драконий жар горна”;Dragon forge Fire;;;Feu de forge du dragon;;;;;龙火焰喷射器燃料;
flame_fuel_heat_dragonD;Этот заряд для огнемета состоит из особой смеси. Выжигает все живое!;This flamethrower fuel is a special concoction. It burns everything that’s alive!;;;Carburant spécialement conçu pour Lance-Flamme Draconique. Brûle tout ce qui est vivant!;;;;;这种火焰喷射器燃料是一种特殊的混合物。它会烧掉所有活着的东西！;
fire_staff_dragonT;Посох “Драконья плеть”;Dragon Whip Staff;;;Bâton faucheur de Dragon;;;;;龙法杖;
fire_staff_dragonD;Посох с эссенцией огня. Стреляет огненными шарами без всяких дополнительных зелий.;A staff endowed with the essence of fire. Shoots fireballs without any additional potions.;;;Enduit d'essence de feu. Vous permet de lancer des boules de feu sans potions supplémentaire.;;;;;具有火的本源的法杖。不需要额外的药剂就可以发射火球。;
dragon_vivern_baby_and_ringT;Виверна и Кольцо;The Wyvern and the Ring;;;Une Vouivre et un Anneau Draconique;;;;;翼龙魔戒;
dragon_vivern_baby_and_ringD;Виверна и кольцо в одном слоте.;The Wyvern and the ring in one slot.;;;Une Vouivre et un Anneau Draconique dans un emplacement d'équipement;;;;;翼龙与魔戒合二为一。;
Dragon_teslaT;Башня драконих молний ;Dragon Lightning Tower;;;Tour de foudre draconique;;;;;龙特拉斯塔;
Dragon_teslaD;Разит врагов древней силой драконов.;Overwhelmed by enemies with the ancient power of dragon.s;;;Submergé vos ennemis avec l'ancienne puissance des dragons;;;;;被古老的龙的力量所压倒。;
Dragon_mana_generatorT;;new item title;;;new item title;;;;;;
Dragon_mana_generatorD;;new item desc;;;new item desc;;;;;;
Dragon_trapT;Драконий капкан;Dragon trap;;;Pièges à dragon;;;;;龙陷阱;
Dragon_trapD;Не отпустит тебе с ногой.;He won’t let you go with your foot.;;;Il ne vous laissera pas partir avec vos pieds.;;;;;它不会让你用脚走过去的。;
Dragon_cellT;Драконья клетка;Dragon cage;;;Cage à dragon;;;;;龙笼;
Dragon_cellD;Раскаленные прутья не дадут тебе сбежать;Burning rods will not let you escape;;;Barreaux brûlant vous ne pourrez pas vous en échapper;;;;;燃烧的棍子不会让你逃跑;
Dragon_statue_hillT;Драконья статуя лечения;Dragon Statue Heal;;;Statue de soin Draconique;;;;;龙之雕像;
Dragon_statue_hillD;Рядом с этой статуей все раны затягиваются как у дракона.;Near this statue, all wounds are healed like a dragon.;;;Proche de cette statue  toute vos blessure seront soigner comme un Dragon.,;;;;;在这座雕像附近，所有的伤口都像龙一样愈合了。;
Dragon_statue_statsT;Драконья статуя навыков;Dragon Statue Skills;;;Statue des maîtrises Draconique;;;;;龙之神像;
Dragon_statue_statsD;Все кто поклоняются древним драконам, наделяются толикой их силы.;All who worship the ancient dragons are endowed with a fraction of their strength.;;;Tous ceux qui adorent les anciens dragons sont dotés d'une fraction de leur force.;;;;;所有崇拜古代龙的人都被赋予了他们力量的一小部分。;
Dragon_table_stoneT;Драконий каменный стол;Dragon stone table;;;Table en pierre Draconique;;;;;龙石桌;
Dragon_table_stoneD;Теплый и гладкий;Warm and smooth;;;Chaude et douce;;;;;温暖又光滑。;
Dragon_ladderT;Драконья лестница;Dragon ladder;;;Échelles Draconique;;;;;龙梯;
Dragon_ladderD;Когда то по ним прислуга драконам отлизала к ним на горы.;Once upon a time, a servant of dragons licked them to the mountains.;;;Autrefois  un serviteur des dragons les a léchés dans montagnes.,;;;;;从前，一个龙的仆人把它们舔到山上。;
Dragon_trofy_1T;Драконий трофей;Dragon trophy;;;Trophée de Dragon;;;;;龙杯;
Dragon_trofy_1D;Делает драконов сильнее с каждой головой.;Makes the dragons stronger with each head.;;;Rend les dragons plus forts avec chaque tête.;;;;;使龙的每一个头都更强壮。;
Dragon_trofy_2T;Драконий трофей;Dragon trophy;;;Trophée de Dragon;;;;;龙杯;
Dragon_trofy_2D;Делает драконов сильнее с каждой головой.;Makes the dragons stronger with each head.;;;Rend les dragons plus forts avec chaque tête.;;;;;使龙的每一个头都更强壮。;
Dragon_vaseT;Ваза с кустом;Vase with a bush;;;Un vase avec un arbuste;;;;;灌木花瓶;
Dragon_vaseD;Прекрасная ваза с кустом огненных ягод.;A beautiful vase with a bush of fiery berries.;;;Un vase magnifique avec un arbuste à baies ardentes;;;;;一个有一丛火红浆果的漂亮花瓶。;
Dragon_hadT;Голова дракона;Dragon head;;;Tête de Dragon;;;;;龙头;
Dragon_hadD;Голова убитого дракона.;Slain dragon head.;;;Tête de Dragon décapité;;;;;已被宰杀的龙头。;
had_black_dragonT;Голова черного дракона;Black dragon head;;;Tête de Dragon noir;;;;;黑龙头;
had_black_dragonD;Голова убитого дракона.;Slain dragon head.;;;Tête de Dragon décapité;;;;;已被宰杀的龙头。;
Dragon_mage_tableT;Драконий искатель;Dragon seeker;;;Localisateur Draconique;;;;;寻龙器;
Dragon_mage_tableD;Найдет любую вещь в недрах земли.;He will find any thing in the bowels of the earth.;;;Il trouvera n'importe quoi dans les entrailles de la terre;;;;;它可以在环境里找到任何东西。;
Dragon_boardT;Драконий стеллаж;Dragon shelving;;;Étagère Draconic;;;;;龙架;
Dragon_boardD;Позволит создать гигантский склад.;Allows you to create a giant warehouse.;;;Vous permet de créer un énorme stockage;;;;;让你创造一个更大的仓库。;
dragon_soul_botlT;Бутыль для души;Bottle for the soul;;;Bouteille pour l'âme;;;;;灵魂瓶;
dragon_soul_botlD;Позволяет заточить душу дракона.;Allows you to imprison the dragon's soul.;;;Vous permet d'emprisonner l'âme d'un Dragon.;;;;;允许你囚禁龙的灵魂。;
dragon_soul_borl_fullT;Бутыль с душой дракона;The bottle with the soul of a dragon;;;Bouteille avec l'âme d'un Dragon;;;;;龙魂瓶;
dragon_soul_borl_fullD;Бутыль с заточенной в ней душой дракона.;A bottle with the dragon's soul trapped in it.;;;Une bouteille avec l'âme emprisonner d'un Dragon;;;;;一个装着龙的灵魂的瓶子。;
dragon_soulT;Душа дракона;Dragon soul;;;L'âme d'un Dragon;;;;;龙魂;
dragon_soulD;Душа умершего дракона , свет солнца может вернуть дракона к жизни.;The soul of a dead dragon, the light of the sun can bring the dragon back to life.;;;L'âme d'un Dragon mort  la lumière du soleil pourrait le ramener à la vie.,;;;;;一条死龙的灵魂，太阳之光可以使龙复活。;
gold_dragon_helmT;Золотой шлем дракона;Golden helmet of the dragon;;;Casque en écaille de Dragon dorée;;;;;金龙盔;
gold_dragon_helmD;Голова так блестит!;My head is so shiny!;;;Ma tête brille tellement!;;;;;我的头真是亮啊！;
gold_dragon_kirasT;Золотой нагрудник дракона;The Golden breastplate of the dragon;;;L'Armure en écaille de Dragon dorée;;;;;金龙甲;
gold_dragon_kirasD;Золотое пузо!;Golden belly!;;;Un ventre tout dorée!;;;;;我的肚子金闪闪！;
gold_dragon_bootsT;Золотые ботинки дракона;Golden dragon boots;;;Botte en écaille de Dragon dorée;;;;;金龙靴;
gold_dragon_bootsD;Пятки сверкают!;Your heels sparkle!;;;Mes pieds brillent!;;;;;你的脚后跟闪闪发光！;
clean_goldT;Чистое золото;Pure gold;;;Or pure;;;;;纯金;
clean_goldD;Чистейшее золото, невозможно устоять перед его блеском.;Pure gold, impossible to resist its brilliance.;;;Or pure impossible de résister à son éclat.,;;;;;纯金，无法抵挡它的光辉。;
gold_dragon_scaleT;Золотая чешуя;Golden scales;;;Golden scales;;;;;金鳞;
gold_dragon_scaleD;Очень редкий материал, чешуйка золотого дракона.;A very rare material, a Golden dragon scale.;;;Un matériau très rare une écailles de dragon dorée,;;;;;一种非常稀有的材料，一种金龙鳞片。;
dragon_chestT;Сундук дракона;Dragon chest;;;Coffre Draconique;;;;;龙箱;
dragon_chestD;Содержит драконьи сокровища. Что бы получить содержимое нужно установить сундук и сломать его.;Contains dragon treasures. To get the contents, you need to install the chest and break it.;;;Contient les trésors des Dragons. Pour obtenir sont contenu posé et cassé le.,,;;;;;装有龙的宝藏。要得到里面的东西，你需要安装箱子并把它弄坏。;
boss_spawnerT;;boss_spawner;;;boss_spawner;;;;;;
boss_spawnerD;;boss_spawner desc;;;boss_spawner desc;;;;;;
dragon_gren_eggT;;dragon_gren_egg;;;dragon_gren_egg;;;;;;
dragon_gren_eggD;;dragon_gren_egg desc;;;dragon_gren_egg desc;;;;;;
dragon_blue_eggT;;dragon_blue_egg;;;dragon_blue_egg;;;;;;
dragon_blue_eggD;;dragon_blue_egg desc;;;dragon_blue_egg desc;;;;;;
empty_dragon_chestT;Сундук дракона;Dragon chest;;;Dragon chest;;;;;龙箱;
empty_dragon_chestD;Пустой;Empty;;;Empty;;;;;空;
dragon_stadingT;Драконьи строительные леса;Dragon stading;;;Échafaudage Draconique;;;;;龙脚手架;
dragon_stadingD;Строй в волю!;Build in the will!;;;Construire à volonté;;;;;用心去感受，用意念去创造！;
clasterT;Кластер;Сluster;;;Cluster;;;;;矿石簇;
clasterD;Такой красивый и блестящий! Ау! Укололся...;So beautiful and shiny! Ow! I got a shot...;;;Si belle et brillante! Ow! Qu'elle chance;;;;;如此美丽和闪亮！噢我有机会。。。;
big_clasterT;Большой кластер;Large cluster;;;Amas de Minerais;;;;;大矿石簇;
big_clasterD;Большая куча различных минералов.;A large pile of various minerals.;;;Une pile de plusieurs minerais.;;;;;一大堆各种各样的矿物。;
seed_clasterT;;seed_claster;;;seed_claster;;;;;;
seed_clasterD;;seed_claster desc;;;seed_claster desc;;;;;;
