key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
gold_dragon_kirasD;Золотое пузо!;Golden belly!;;;;;;;;我的肚子金闪闪！;
gold_dragon_bootsT;Золотые ботинки дракона;Golden dragon boots;;;;;;;;金龙靴;
gold_dragon_bootsD;Пятки сверкают!;Your heels sparkle!;;;;;;;;你的脚后跟闪闪发光！;
clean_goldT;Чистое золото;Pure gold;;;;;;;;纯金;
clean_goldD;Чистейшее золото, невозможно устоять перед его блеском.;Pure gold, impossible to resist its brilliance.;;;;;;;;纯金，无法抵挡它的光辉。;
gold_dragon_scaleT;Золотая чешуя;Golden scales;;;;;;;;金鳞;
gold_dragon_scaleD;Очень редкий материал, чешуйка золотого дракона.;A very rare material, a Golden dragon scale.;;;;;;;;一种非常稀有的材料，一种金龙鳞片。;
dragon_chestT;Сундук дракона;Dragon chest;;;;;;;;龙箱;
dragon_chestD;Содержит драконьи сокровища. Что бы получить содержимое нужно установить сундук и сломать его.;Contains dragon treasures. To get the contents, you need to install the chest and break it.;;;;;;;;装有龙的宝藏。要得到里面的东西，你需要安装箱子并把它弄坏。;
boss_spawnerT;;boss_spawner;;;;;;;;;
boss_spawnerD;;boss_spawner desc;;;;;;;;;
dragon_gren_eggT;;dragon_gren_egg;;;;;;;;;
dragon_gren_eggD;;dragon_gren_egg desc;;;;;;;;;
dragon_blue_eggT;;dragon_blue_egg;;;;;;;;;
dragon_blue_eggD;;dragon_blue_egg desc;;;;;;;;;
empty_dragon_chestT;Сундук дракона;Dragon chest;;;;;;;;龙箱;
empty_dragon_chestD;Пустой;Empty;;;;;;;;空;
dragon_stadingT;Драконьи строительные леса;Dragon stading;;;;;;;;龙脚手架;
dragon_stadingD;Строй в волю!;Build in the will!;;;;;;;;用心去感受，用意念去创造！;
clasterT;Кластер;Сluster;;;;;;;;矿石簇;
clasterD;Такой красивый и блестящий! Ау! Укололся...;So beautiful and shiny! Ow! I got a shot...;;;;;;;;如此美丽和闪亮！噢我有机会。。。;
big_clasterT;Большой кластер;Large cluster;;;;;;;;大矿石簇;
big_clasterD;Большая куча различных минералов.;A large pile of various minerals.;;;;;;;;一大堆各种各样的矿物。;
seed_clasterT;;seed_claster;;;;;;;;;
seed_clasterD;;seed_claster desc;;;;;;;;;
dragon_book_chestT;;dragon_book_chest;;;;;;;;;
dragon_book_chestD;;dragon_book_chest desc;;;;;;;;;
